beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,steady,mapi
81.15111111111112,40.55555555555556,0.51,0.63,1,0.02,0,0.1638254074899831,3.14117530967478e-4,0.10232687036712582,0.5336104641600612,0.0010231404518555017,TRUE,12.853594861353962
81.15111111111112,40.55555555555556,0.52,0.63,1,0.02,0,0.16252838133547226,3.1475684049357645e-4,0.10155023450537033,0.5356692358502213,0.0010373914684388915,TRUE,12.725930824912469
81.15111111111112,40.55555555555556,0.53,0.63,1,0.02,0,0.16126313050481855,3.1538048831135373e-4,0.10079238852098707,0.5376775705163939,0.0010515299694922387,TRUE,12.601893071833492
81.15111111111112,40.55555555555556,0.54,0.63,1,0.02,0,0.16002835251442266,3.1598911634090325e-4,0.1000525641715912,0.539637535593194,0.0010655586044511737,TRUE,12.481314745667586
81.15111111111112,40.55555555555556,0.55,0.63,1,0.02,0,0.15882281940068912,3.165833297884303e-4,0.09933003712131862,0.5415510802293745,0.0010794799188320776,TRUE,12.364039501429353
81.15111111111112,40.55555555555556,0.56,0.63,1,0.02,0,0.15764537227617456,3.171636998175788e-4,0.0986241237351829,0.5434200439289746,0.0010932963598530362,TRUE,12.249920671497522
81.15111111111112,40.55555555555556,0.5700000000000001,0.63,1,0.02,0,0.1564949163711665,3.1773076600091294e-4,0.0979341781593135,0.545246164421833,0.0011070102816823349,TRUE,12.138820510584532
81.15111111111112,40.55555555555556,0.58,0.63,1,0.02,0,0.15537041650209402,3.182850385427565e-4,0.09725958965241194,0.5470310848566236,0.0011206239503222138,TRUE,12.030609511618103
81.15111111111112,40.55555555555556,0.59,0.63,1,0.02,0,0.15427089293169288,3.1882700032694777e-4,0.09659978014781946,0.548776360371985,0.00113413954817766,TRUE,11.925165784308598
81.15111111111112,40.55555555555556,0.6,0.63,1,0.02,0,0.15319541757454808,3.19357108780622e-4,0.0959542020188733,0.5504834641194863,0.0011475591783176192,TRUE,11.82237449016037
81.15111111111112,40.55555555555556,0.61,0.63,1,0.02,0,0.15214311051907892,3.1987579759100025e-4,0.09532233603059549,0.5521537927842715,0.0011608848684662308,TRUE,11.722127327669673
81.15111111111112,40.55555555555556,0.62,0.63,1,0.02,0,0.15111313683242963,3.2038347827874846e-4,0.09470368945787845,0.5537886716566701,0.00117411857473746,TRUE,11.624322062700541
81.15111111111112,40.55555555555556,0.63,0.63,1,0.02,0,0.15010470362232245,3.208805416455017e-4,0.09409779435496736,0.555389359295925,0.0011872621851353254,TRUE,11.528862099372992
81.15111111111112,40.55555555555556,0.64,0.63,1,0.02,0,0.1491170573316176,3.213673591071134e-4,0.09350420596189432,0.5569570518245439,0.001200317522837421,TRUE,11.435656087405146
81.15111111111112,40.55555555555556,0.65,0.63,1,0.02,0,0.14814948124387894,3.218442839227615e-4,0.0929225012352025,0.5584928868877177,0.001213286349277734,TRUE,11.344617562315298
81.15111111111112,40.55555555555556,0.66,0.63,1,0.02,0,0.14720129318071987,3.223116523296324e-4,0.09235227749158095,0.5599979473083319,0.0012261703670438712,TRUE,11.255664615282255
81.15111111111112,40.55555555555556,0.67,0.63,1,0.02,0,0.14627184337372048,3.2276978459150444e-4,0.09179315115421287,0.561473264464876,0.001238971222600832,TRUE,11.168719589831197
81.15111111111112,40.55555555555556,0.68,0.63,1,0.02,0,0.14536051249533946,3.232189859692437e-4,0.09124475659286417,0.5629198214169746,0.0012516905088561508,TRUE,11.083708802790946
81.15111111111112,40.55555555555556,0.6900000000000001,0.63,1,0.02,0,0.14446670983497412,3.236595476194818e-4,0.09070674504929312,0.5643385558005404,0.0012643297675747072,TRUE,11.000562287286618
