beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,mapi,steady
202.8777777777778,40.55555555555556,0.53,0.96,1,0.02,0,0.009578296260165025,4.881863921166812e-4,0.7814677747144836,0.19835594139566146,0.010109801237572854,0.4835463633317701,TRUE
202.8777777777778,40.55555555555556,0.54,0.96,1,0.02,0,0.009411525301035704,4.8826859479109803e-4,0.7812708543597633,0.1985296611447545,0.010299690599656007,0.4750471836397979,TRUE
202.8777777777778,40.55555555555556,0.55,0.96,1,0.02,0,0.00925053948600773,4.883479459239804e-4,0.7810742674772364,0.19869735470207528,0.010489490388756118,0.4668455474711335,TRUE
202.8777777777778,40.55555555555556,0.56,0.96,1,0.02,0,0.00909504291820215,4.884245913651399e-4,0.7808780016684991,0.19885933029353944,0.01067920052838706,0.45892609847199795,TRUE
202.8777777777778,40.55555555555556,0.5700000000000001,0.96,1,0.02,0,0.008944759542139316,4.884986671844397e-4,0.78068204536208885,0.19901587547693822,0.01086882095164482,0.45127451916842504,TRUE
202.8777777777778,40.55555555555556,0.58,0.96,1,0.02,0,0.008799431508042101,4.885703004779917e-4,0.7804863877452795,0.19916725884578945,0.011058351600411109,0.4438774445735937,TRUE
202.8777777777778,40.55555555555556,0.59,0.96,1,0.02,0,0.008658817695330886,4.886396100959535e-4,0.7802910187025764,0.1993137315673637,0.011247792424635913,0.436722384275456,TRUE
202.8777777777778,40.55555555555556,0.6,0.96,1,0.02,0,0.008522692377523318,4.887067073006341e-4,0.7800959287600693,0.19945552877341316,0.011437143381688945,0.42979765204916326,TRUE
202.8777777777778,40.55555555555556,0.61,0.96,1,0.02,0,0.00839084401298719,4.887716963625141e-4,0.7799011090350743,0.199592870819805,0.011626404435771414,0.4230923021598771,TRUE
202.8777777777778,40.55555555555556,0.62,0.96,1,0.02,0,0.008263074147920036,4.88834675100976e-4,0.7797065511903439,0.19972596442924995,0.011815575557382293,0.4165960716255761,TRUE
