R0,beta1,gamma,omega,rho,nu,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.4,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,Inf,1.0465753424657533,1182825.219427186
1.5999999999999999,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,Inf,0.8054794520547945,3786530.993667689
1.7999999999999998,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,27.972602739726028,0.663013698630137,3978475.9921142473
2,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,20.482191780821918,0.547945205479452,3985463.983653845
2.1999999999999997,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,15.912328767123288,0.4465753424657534,3967154.3790243384
2.4,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,12.386301369863014,0.3643835616438356,3996074.8764904416
2.5999999999999996,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,10.463013698630137,0.3041095890410959,4078109.3720898977
2.8,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,9.293150684931506,0.26301369863013696,4179317.9562390265
3,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,7.791780821917809,0.23013698630136986,4273159.525098112
3.1999999999999997,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,6.791780821917809,0.2054794520547945,4350648.223762677
3.3999999999999995,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,6.013698630136986,0.1863013698630137,4412261.197002142
3.5999999999999996,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,5.265753424657534,0.16986301369863013,4460661.5995078115
3.8,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,4.920547945205479,0.15616438356164383,4498854.176086942
4,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,4.2904109589041095,0.14520547945205478,4529410.5704797385
4.199999999999999,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,4.057534246575343,0.13424657534246576,4554118.5885605775
4.3999999999999995,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,3.695890410958904,0.12602739726027398,4574434.843471844
4.6,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,3.4246575342465753,0.12054794520547946,4591442.825702397
4.8,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,3.2356164383561645,0.11232876712328767,4605995.24033065
5,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,3.0931506849315067,0.10684931506849316,4618834.6469762735
5.199999999999999,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,2.9095890410958902,0.10136986301369863,4630717.182067429
5.3999999999999995,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,2.824657534246575,0.0958904109589041,4642460.679183788
5.6,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,2.758904109589041,0.09315068493150686,4655450.56590446
5.8,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,2.367123287671233,0.08767123287671233,4670599.511222224
6,0.2,40.55555555555556,0.49583333333333335,0.7,0,covid,2.254794520547945,0.08493150684931507,4688215.180382843
1.2,0.2,40.55555555555556,0.575,0.7,0,covid,Inf,2.0931506849315067,862.268658037147
1.4,0.2,40.55555555555556,0.575,0.7,0,covid,Inf,1.0465753424657533,1182848.95035483
1.5999999999999999,0.2,40.55555555555556,0.575,0.7,0,covid,Inf,0.8054794520547945,3788785.1114083566
1.7999999999999998,0.2,40.55555555555556,0.575,0.7,0,covid,24.383561643835616,0.663013698630137,3982309.1837214385
2,0.2,40.55555555555556,0.575,0.7,0,covid,18.043835616438358,0.547945205479452,3990994.133719141
2.1999999999999997,0.2,40.55555555555556,0.575,0.7,0,covid,14.016438356164384,0.4465753424657534,3974626.2894078335
2.4,0.2,40.55555555555556,0.575,0.7,0,covid,10.997260273972604,0.3643835616438356,4004244.500570747
2.5999999999999996,0.2,40.55555555555556,0.575,0.7,0,covid,9.402739726027397,0.3041095890410959,4085033.1926343907
2.8,0.2,40.55555555555556,0.575,0.7,0,covid,7.909589041095891,0.26301369863013696,4184539.189717697
3,0.2,40.55555555555556,0.575,0.7,0,covid,7.032876712328767,0.23013698630136986,4277164.569765808
3.1999999999999997,0.2,40.55555555555556,0.575,0.7,0,covid,6.065753424657534,0.2054794520547945,4354008.002025734
3.3999999999999995,0.2,40.55555555555556,0.575,0.7,0,covid,5.2684931506849315,0.1863013698630137,4415133.162414293
3.5999999999999996,0.2,40.55555555555556,0.575,0.7,0,covid,4.821917808219178,0.16986301369863013,4463372.956833828
3.8,0.2,40.55555555555556,0.575,0.7,0,covid,4.243835616438356,0.15616438356164383,4501576.956832226
4,0.2,40.55555555555556,0.575,0.7,0,covid,3.989041095890411,0.14520547945205478,4532249.015752613
4.199999999999999,0.2,40.55555555555556,0.575,0.7,0,covid,3.5506849315068494,0.13424657534246576,4557388.358341289
4.3999999999999995,0.2,40.55555555555556,0.575,0.7,0,covid,3.3095890410958906,0.12602739726027398,4578571.771034335
4.6,0.2,40.55555555555556,0.575,0.7,0,covid,3.117808219178082,0.12054794520547946,4597362.991150318
4.8,0.2,40.55555555555556,0.575,0.7,0,covid,2.9095890410958902,0.11232876712328767,4615336.374377377
5,0.2,40.55555555555556,0.575,0.7,0,covid,2.813698630136986,0.10684931506849316,4634456.31275203
5.199999999999999,0.2,40.55555555555556,0.575,0.7,0,covid,2.7315068493150685,0.10136986301369863,4656377.4512912305
5.3999999999999995,0.2,40.55555555555556,0.575,0.7,0,covid,2.3123287671232875,0.0958904109589041,4680647.904821333
5.6,0.2,40.55555555555556,0.575,0.7,0,covid,2.2054794520547945,0.09315068493150686,4703591.957512396
5.8,0.2,40.55555555555556,0.575,0.7,0,covid,2.1041095890410957,0.08767123287671233,4721814.620781216
6,0.2,40.55555555555556,0.575,0.7,0,covid,2.021917808219178,0.08493150684931507,4734442.533163163
1.2,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,Inf,2.0931506849315067,862.268654463123
1.4,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,Inf,1.0465753424657533,1182871.819868555
1.5999999999999999,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,Inf,0.8054794520547945,3791033.080556537
1.7999999999999998,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,22.44931506849315,0.663013698630137,3986156.2969735786
2,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,16.126027397260273,0.547945205479452,3996600.93264103
2.1999999999999997,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,12.416438356164383,0.4465753424657534,3982373.5861514406
2.4,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,10.367123287671232,0.3643835616438356,4013106.799441451
2.5999999999999996,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,8.367123287671232,0.3041095890410959,4093007.1057070396
2.8,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,7.2684931506849315,0.26301369863013696,4190824.210681837
3,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,6.23013698630137,0.23013698630136986,4282101.738658071
3.1999999999999997,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,5.35068493150685,0.2054794520547945,4358274.485522889
3.3999999999999995,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,4.906849315068493,0.1863013698630137,4419147.119271196
3.5999999999999996,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,4.249315068493151,0.16986301369863013,4467440.25158039
3.8,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,3.9643835616438357,0.15616438356164383,4506211.593048216
4,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,3.4657534246575343,0.14520547945205478,4538216.743924954
4.199999999999999,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,3.213698630136986,0.13424657534246576,4566102.805948967
4.3999999999999995,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,3.0027397260273974,0.12602739726027398,4592671.986269601
4.6,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,2.841095890410959,0.12054794520547946,4620747.685220284
4.8,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,2.756164383561644,0.11232876712328767,4651690.876317511
5,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,2.350684931506849,0.10684931506849316,4682481.301867775
5.199999999999999,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,2.213698630136986,0.10136986301369863,4707733.116421664
5.3999999999999995,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,2.1041095890410957,0.0958904109589041,4725318.40388153
5.6,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,2.010958904109589,0.09315068493150686,4736687.017424415
5.8,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,1.917808219178082,0.08767123287671233,4744141.667781032
6,0.2,40.55555555555556,0.6541666666666667,0.7,0,covid,1.8383561643835618,0.08493150684931507,4749169.508483777
