R0,beta1,gamma,omega,rho,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
4.3500000000000005,0.2,40.55555555555556,0.8124999999999999,0.7,covid,2.7753424657534245,0.136986301369863,4683042.634555407
4.55625,0.2,40.55555555555556,0.8124999999999999,0.7,covid,2.1534246575342464,0.12876712328767123,4709174.381979615
4.7625,0.2,40.55555555555556,0.8124999999999999,0.7,covid,2.0191780821917806,0.12054794520547946,4729814.843095697
4.96875,0.2,40.55555555555556,0.8124999999999999,0.7,covid,1.893150684931507,0.11506849315068493,4742503.6483725235
5.175,0.2,40.55555555555556,0.8124999999999999,0.7,covid,1.7917808219178082,0.10684931506849316,4749013.006496941
5.3812500000000005,0.2,40.55555555555556,0.8124999999999999,0.7,covid,1.6904109589041096,0.10136986301369863,4752370.113152377
5.5875,0.2,40.55555555555556,0.8124999999999999,0.7,covid,1.2,0.09863013698630137,4754161.003668172
5.79375,0.2,40.55555555555556,0.8124999999999999,0.7,covid,1.0794520547945206,0.09315068493150686,4755293.431954404
6,0.2,40.55555555555556,0.8124999999999999,0.7,covid,1.0164383561643835,0.08767123287671233,4756085.929104939
1.05,0.2,40.55555555555556,0.8916666666666666,0.7,covid,Inf,Inf,8.248656073089386
1.25625,0.2,40.55555555555556,0.8916666666666666,0.7,covid,Inf,25.13150684931507,14337.637804363156
1.4625000000000001,0.2,40.55555555555556,0.8916666666666666,0.7,covid,Inf,6,2971582.668241634
1.6687500000000002,0.2,40.55555555555556,0.8916666666666666,0.7,covid,25.36986301369863,1.0082191780821919,3766315.9621627317
1.875,0.2,40.55555555555556,0.8916666666666666,0.7,covid,15.676712328767124,0.8,3825392.8414797275
2.08125,0.2,40.55555555555556,0.8916666666666666,0.7,covid,11.463013698630137,0.8082191780821918,3797232.562649479
2.2875,0.2,40.55555555555556,0.8916666666666666,0.7,covid,9.389041095890411,0.6986301369863014,3826371.242435382
2.4937500000000004,0.2,40.55555555555556,0.8916666666666666,0.7,covid,8.008219178082191,0.44931506849315067,3939220.7211022605
2.7,0.2,40.55555555555556,0.8916666666666666,0.7,covid,6.3780821917808215,0.3424657534246575,4089745.085136701
2.90625,0.2,40.55555555555556,0.8916666666666666,0.7,covid,5.394520547945206,0.2821917808219178,4235430.597585502
3.1125,0.2,40.55555555555556,0.8916666666666666,0.7,covid,5.008219178082192,0.2410958904109589,4357034.48307622
3.3187500000000005,0.2,40.55555555555556,0.8916666666666666,0.7,covid,4.191780821917808,0.2136986301369863,4452569.738006741
3.5250000000000004,0.2,40.55555555555556,0.8916666666666666,0.7,covid,3.9287671232876713,0.1917808219178082,4526555.684867042
3.73125,0.2,40.55555555555556,0.8916666666666666,0.7,covid,3.180821917808219,0.1726027397260274,4584643.1944870185
3.9375,0.2,40.55555555555556,0.8916666666666666,0.7,covid,2.9945205479452053,0.1589041095890411,4632469.546671453
4.143750000000001,0.2,40.55555555555556,0.8916666666666666,0.7,covid,2.8054794520547945,0.14794520547945206,4673871.929163186
4.3500000000000005,0.2,40.55555555555556,0.8916666666666666,0.7,covid,2.2356164383561645,0.136986301369863,4707955.922995235
4.55625,0.2,40.55555555555556,0.8916666666666666,0.7,covid,2.0356164383561643,0.12876712328767123,4730407.316752578
4.7625,0.2,40.55555555555556,0.8916666666666666,0.7,covid,1.904109589041096,0.12054794520547946,4742349.078289196
4.96875,0.2,40.55555555555556,0.8916666666666666,0.7,covid,1.7945205479452055,0.11506849315068493,4748474.385184041
5.175,0.2,40.55555555555556,0.8916666666666666,0.7,covid,1.7013698630136986,0.10684931506849316,4751777.828688209
5.3812500000000005,0.2,40.55555555555556,0.8916666666666666,0.7,covid,1.4904109589041097,0.10136986301369863,4753655.937973001
5.5875,0.2,40.55555555555556,0.8916666666666666,0.7,covid,1.104109589041096,0.09863013698630137,4754873.414448239
5.79375,0.2,40.55555555555556,0.8916666666666666,0.7,covid,1.0191780821917809,0.09315068493150686,4755786.168732313
6,0.2,40.55555555555556,0.8916666666666666,0.7,covid,0.9561643835616438,0.08767123287671233,4756356.1487794025
1.05,0.2,40.55555555555556,0.9708333333333333,0.7,covid,Inf,Inf,8.24865752266048
1.25625,0.2,40.55555555555556,0.9708333333333333,0.7,covid,Inf,24.882191780821916,14337.78090258823
1.4625000000000001,0.2,40.55555555555556,0.9708333333333333,0.7,covid,Inf,6.098630136986301,2974503.8558458807
1.6687500000000002,0.2,40.55555555555556,0.9708333333333333,0.7,covid,23.528767123287672,0.9780821917808219,3772372.1387688247
1.875,0.2,40.55555555555556,0.9708333333333333,0.7,covid,14.849315068493151,0.7945205479452054,3834249.7993495706
2.08125,0.2,40.55555555555556,0.9708333333333333,0.7,covid,11.243835616438357,0.7808219178082192,3810955.9796285797
2.2875,0.2,40.55555555555556,0.9708333333333333,0.7,covid,8.90958904109589,0.6767123287671233,3846264.186622666
2.4937500000000004,0.2,40.55555555555556,0.9708333333333333,0.7,covid,7.260273972602739,0.4465753424657534,3961690.497362435
2.7,0.2,40.55555555555556,0.9708333333333333,0.7,covid,6.175342465753425,0.33972602739726027,4109093.4580173492
2.90625,0.2,40.55555555555556,0.9708333333333333,0.7,covid,5.2,0.2821917808219178,4250863.44714206
3.1125,0.2,40.55555555555556,0.9708333333333333,0.7,covid,4.293150684931507,0.2410958904109589,4370599.494677767
3.3187500000000005,0.2,40.55555555555556,0.9708333333333333,0.7,covid,4.035616438356165,0.2136986301369863,4466707.528665069
3.5250000000000004,0.2,40.55555555555556,0.9708333333333333,0.7,covid,3.367123287671233,0.1917808219178082,4544061.235445087
3.73125,0.2,40.55555555555556,0.9708333333333333,0.7,covid,3.0575342465753423,0.1726027397260274,4608715.312718024
3.9375,0.2,40.55555555555556,0.9708333333333333,0.7,covid,2.852054794520548,0.1589041095890411,4663349.459546229
4.143750000000001,0.2,40.55555555555556,0.9708333333333333,0.7,covid,2.652054794520548,0.14794520547945206,4703884.271830082
4.3500000000000005,0.2,40.55555555555556,0.9708333333333333,0.7,covid,2.0767123287671234,0.136986301369863,4728063.6890614955
4.55625,0.2,40.55555555555556,0.9708333333333333,0.7,covid,1.9342465753424658,0.12876712328767123,4740477.864542082
4.7625,0.2,40.55555555555556,0.9708333333333333,0.7,covid,1.810958904109589,0.12054794520547946,4746998.042822834
4.96875,0.2,40.55555555555556,0.9708333333333333,0.7,covid,1.715068493150685,0.11506849315068493,4750703.5500842035
5.175,0.2,40.55555555555556,0.9708333333333333,0.7,covid,1.610958904109589,0.10684931506849316,4752946.801525339
5.3812500000000005,0.2,40.55555555555556,0.9708333333333333,0.7,covid,1.2164383561643837,0.10136986301369863,4754325.075638725
5.5875,0.2,40.55555555555556,0.9708333333333333,0.7,covid,1.0465753424657533,0.09863013698630137,4755399.678806201
5.79375,0.2,40.55555555555556,0.9708333333333333,0.7,covid,0.9671232876712329,0.09315068493150686,4756012.242797897
6,0.2,40.55555555555556,0.9708333333333333,0.7,covid,0.9041095890410958,0.08767123287671233,4756489.658656237
